domain,url,email,ecom_score,serbia_score,status
novkesmigicka.rs,https://novkesmigicka.rs,shop@novkesmigicka.rs,14,10,VALID
zdravahranaonline.rs,https://zdravahranaonline.rs,info@zdravahranaonline.rs,11,11,VALID
shop.lakkorak.rs,https://shop.lakkorak.rs,shop@lakkorak.rs,10,14,VALID
modesta.rs,https://modesta.rs,info@modesta.rs,8,8,VALID
dotmarket.rs,https://dotmarket.rs,posao@dotmarket.rs,12,12,VALID
navrhu.rs,https://navrhu.rs,,8,5,REVIEW_NO_EMAIL
marijana.rs,https://marijana.rs,info@marijana.rs,12,10,VALID
neseseri.rs,https://neseseri.rs,info@neseseri.rs,12,10,VALID
silvershop.rs,https://silvershop.rs,info@silvershop.rs,9,8,VALID
shop.goldgondola.rs,https://shop.goldgondola.rs,shop@goldgondola.rs,5,10,VALID
serbianlures.com,https://serbianlures.com,support@serbianlures.com,5,8,VALID
prodajaparfema.rs,https://prodajaparfema.rs,info@prodajaparfema.rs,10,11,VALID
signalshop.rs,https://signalshop.rs,online@signalshop.rs,6,9,VALID
shopnet.rs,https://shopnet.rs,office@poverenik.rs,12,13,VALID
shoptogo.rs,https://shoptogo.rs,info@shoptogo.rs,9,12,VALID
venturastore.rs,,,0,0,SKIP
tortilla-casa.com,https://tortilla-casa.com,office@tortillacasa.com,14,13,VALID
ediskont.rs,https://ediskont.rs,info@templines.com,7,8,VALID
mesarabelareka.rs,https://mesarabelareka.rs,narudzbine@mesarabelareka.rs,10,9,VALID
selajafashion.com,,,0,0,SKIP
sense.rs,https://sense.rs,,13,10,REVIEW_NO_EMAIL
serb-craft.com,https://serb-craft.com,,9,11,REVIEW_NO_EMAIL
sezambook.rs,https://sezambook.rs,prodaja@sezambook.rs,10,8,VALID
shoesstar.rs,,,0,0,SKIP
bambopelene.rs,https://bambopelene.rs,info@simbex.rs,14,13,VALID
sgseason.rs,,,0,0,SKIP
simple-star.rs,,,0,0,SKIP
simpleteam.rs,,,0,0,SKIP
huntingmilitary.rs,,,0,0,SKIP
magicpillow.rs,https://magicpillow.rs,info@magicpillow.rs,10,9,VALID
agena-ns.co.rs,https://agena-ns.co.rs,office@agena-ns.co.rs,4,8,VALID
uredjenjeenterijera.com,,,0,0,SKIP
candlestudio.rs,,,0,0,SKIP
olight.rs,http://olight.rs,lovacke.lampe@gmail.com,8,8,VALID
lovackelampe.com,https://lovackelampe.com,info@lovackelampe.com,9,9,VALID
kupivaucher.rs,,,0,0,SKIP
fitnes-pro.rs,,,0,0,SKIP
bebe-max.rs,,,0,0,SKIP
kidsstore.rs,,,0,0,SKIP
petshop.rs,https://petshop.rs,,13,8,REVIEW_NO_EMAIL
beauty.rs,https://beauty.rs,,2,6,REVIEW_NO_EMAIL
eshop.rs,,,0,0,SKIP
dezute.rs,,,0,0,SKIP
techshop.rs,,,0,0,SKIP
fashion.rs,,,0,0,SKIP
domace.rs,,,0,0,SKIP
bezic.rs,,,0,0,SKIP
obrtnikoprodukt.rs,,,0,0,SKIP
radionica-shop.rs,,,0,0,SKIP
poklonce.rs,,,0,0,SKIP
kozmetikashop.rs,,,0,0,SKIP
igrackeplus.rs,https://igrackeplus.rs,headerLogoIgrackePlus_100x@2x.png,11,9,VALID
